iter |           obj |        instat |          step | tr_fail
-----+---------------+---------------+---------------+--------
   0 |  6.062259e+00 |  7.917385e+00 |           --- |     ---
   1 |  3.700337e+00 |  5.513479e+00 |  6.272488e+00 |       0
   2 |  2.552463e+00 |  2.653401e+00 |  7.500000e-01 |       4
   3 |  2.440902e+00 |  1.248809e+00 |  7.500000e-01 |       1
   4 |  2.299886e+00 |  1.269119e+00 |  3.634972e-01 |       1
   5 |  1.898071e+00 |  8.818494e-01 |  7.500000e-01 |       0
   6 |  1.750765e+00 |  1.378906e+00 |  7.500000e-01 |       1
   7 |  1.647893e+00 |  8.729648e-01 |  1.830754e-01 |       3
   8 |  1.600431e+00 |  3.293812e-01 |  3.750000e-01 |       0
   9 |  1.577383e+00 |  3.404826e-01 |  9.375000e-02 |       2
  10 |  1.535303e+00 |  3.175584e-01 |  1.875000e-01 |       0
  11 |  1.523362e+00 |  2.696186e-01 |  9.375000e-02 |       2
  12 |  1.503400e+00 |  2.406992e-01 |  9.375000e-02 |       0
  13 |  1.485041e+00 |  1.847091e-01 |  1.875000e-01 |       0
  14 |  1.428363e+00 |  1.467116e-01 |  3.623574e-01 |       0
  15 |  1.422852e+00 |  2.290778e-01 |  9.375000e-02 |       3
  16 |  1.401237e+00 |  9.524619e-02 |  1.875000e-01 |       0
  17 |  1.378312e+00 |  1.167800e-01 |  3.750000e-01 |       0
  18 |  1.376729e+00 |  7.871944e-02 |  1.171875e-02 |       6
  19 |  1.374707e+00 |  6.239680e-02 |  2.343750e-02 |       0
  20 |  1.371133e+00 |  4.932412e-02 |  4.687500e-02 |       0
  21 |  1.365336e+00 |  2.737183e-02 |  9.375000e-02 |       0
  22 |  1.364490e+00 |  1.116112e-01 |  4.687500e-02 |       2
  23 |  1.363480e+00 |  3.125635e-02 |  2.343750e-02 |       1
  24 |  1.362166e+00 |  2.830433e-02 |  2.343750e-02 |       0
  25 |  1.360051e+00 |  3.056968e-02 |  4.687500e-02 |       0
  26 |  1.358881e+00 |  6.058773e-02 |  9.375000e-02 |       0
  27 |  1.356476e+00 |  5.520094e-02 |  4.687500e-02 |       1
  28 |  1.355783e+00 |  2.016151e-02 |  2.343750e-02 |       2
  29 |  1.355507e+00 |  1.956376e-02 |  1.171875e-02 |       1
  30 |  1.355074e+00 |  1.998405e-02 |  1.171875e-02 |       0
  31 |  1.354270e+00 |  2.119041e-02 |  2.343750e-02 |       0
  32 |  1.353803e+00 |  1.732685e-02 |  2.343750e-02 |       1
  33 |  1.353467e+00 |  4.019503e-02 |  2.343750e-02 |       0
  34 |  1.353185e+00 |  3.799827e-02 |  2.343750e-02 |       0
  35 |  1.352856e+00 |  1.654382e-02 |  2.343750e-02 |       0
  36 |  1.352125e+00 |  1.152350e-02 |  2.343750e-02 |       0
  37 |  1.350752e+00 |  1.308910e-02 |  4.687500e-02 |       0
  38 |  1.348956e+00 |  1.956193e-02 |  9.375000e-02 |       0
  39 |  1.348505e+00 |  8.318672e-03 |  2.343750e-02 |       3
  40 |  1.348369e+00 |  1.772345e-02 |  1.171875e-02 |       1
  41 |  1.348188e+00 |  1.708768e-02 |  1.171875e-02 |       0
  42 |  1.348141e+00 |  7.361715e-03 |  5.859375e-03 |       2
  43 |  1.348049e+00 |  1.034422e-02 |  5.859375e-03 |       0
  44 |  1.347967e+00 |  1.259748e-02 |  5.859375e-03 |       1
  45 |  1.347912e+00 |  6.708577e-03 |  5.859375e-03 |       1
  46 |  1.347872e+00 |  1.388913e-02 |  5.859375e-03 |       0
  47 |  1.347762e+00 |  1.136819e-02 |  5.859375e-03 |       0
  48 |  1.347718e+00 |  5.983216e-03 |  5.859375e-03 |       1
  49 |  1.347665e+00 |  1.003109e-02 |  5.859375e-03 |       0
iter |           obj |        instat |          step | tr_fail
-----+---------------+---------------+---------------+--------
  50 |  1.347583e+00 |  1.048348e-02 |  5.859375e-03 |       0
  51 |  1.347494e+00 |  1.066733e-02 |  5.859375e-03 |       0
  52 |  1.347327e+00 |  1.157045e-02 |  1.171875e-02 |       0
  53 |  1.347292e+00 |  7.932289e-03 |  2.929688e-03 |       3
  54 |  1.347213e+00 |  7.947342e-03 |  5.859375e-03 |       0
  55 |  1.347067e+00 |  8.447441e-03 |  1.171875e-02 |       0
  56 |  1.346983e+00 |  5.747260e-03 |  1.171875e-02 |       1
  57 |  1.346901e+00 |  2.135744e-02 |  1.171875e-02 |       0
  58 |  1.346784e+00 |  1.757941e-02 |  1.171875e-02 |       1
  59 |  1.346730e+00 |  8.686720e-03 |  1.171875e-02 |       0
  60 |  1.346856e+00 |  2.311658e-02 |  1.171875e-02 |       0
  61 |  1.346730e+00 |  8.510562e-03 |  1.171875e-02 |       1
